"product_code","fiscal_year","gross_price"
"A0118150101","2020",16.2323
"A0118150101","2021",19.0573
"A0118150102","2020",19.8577
"A0118150102","2021",21.4565
"A0118150103","2020",22.1317
"A0118150103","2021",21.7795
"A0118150104","2020",20.7734
"A0118150104","2021",22.9729
"A0219150201","2020",22.2298
"A0219150201","2021",23.6987
"A0219150202","2020",24.1562
"A0219150202","2021",24.7312
"A0220150203","2020",23.9193
"A0220150203","2021",23.6154
"A0320150301","2020",22.2856
"A0320150301","2021",23.7223
"A0321150302","2021",27.1027
"A0321150303","2021",28.0059
"A0418150101","2020",17.4708
"A0418150102","2020",17.0422
"A0418150103","2020",17.4436
"A0418150103","2021",19.5235
"A0418150104","2020",19.0484
"A0418150104","2021",19.9239
"A0418150105","2020",18.5592
"A0418150105","2021",20.0766
"A0418150106","2020",17.7022
"A0418150106","2021",19.9365
"A0418150107","2020",20.8163
"A0418150108","2020",19.1964
"A0519150201","2020",21.9777
"A0519150201","2021",22.3984
"A0519150202","2020",24.1658
"A0519150202","2021",24.9298
"A0519150203","2020",24.3127
"A0519150203","2021",26.5871
"A0519150204","2020",24.7823
"A0519150204","2021",26.1081
"A0519150205","2020",27.2201
"A0519150205","2021",29.7008
"A0519150206","2020",26.4794
"A0519150206","2021",31.2439
"A0519150207","2020",27.4563
"A0519150207","2021",32.4427
"A0519150208","2020",29.7525
"A0519150208","2021",30.5816
"A0619150301","2020",29.3716
"A0619150301","2021",30.4696
"A0619150302","2020",31.6222
"A0619150302","2021",34.0973
"A0620150303","2020",33.5635
"A0620150303","2021",34.2412
"A0620150304","2020",33.2821
"A0620150304","2021",37.5826
"A0620150305","2020",33.4988
"A0620150305","2021",36.5679
"A0620150306","2020",35.1332
"A0620150306","2021",37.5278
"A0621150307","2020",36.2515
"A0621150307","2021",36.2434
"A0621150308","2020",38.0905
"A0621150308","2021",39.399
"A0721150401","2020",36.3186
"A0721150401","2021",39.3377
"A0721150402","2020",38.6769
"A0721150402","2021",39.1465
"A0721150403","2021",39.299
"A0721150404","2021",39.1215
"A0821150501","2021",40.5013
"A0821150502","2021",43.2966
"A0821150503","2021",42.3841
"A0821150504","2021",44.7044
"A0921150601","2021",45.0813
"A1018150101","2020",106.021
"A1018150101","2021",111.1036
"A1018150102","2020",117.1501
"A1018150102","2021",123.4797
"A1018150103","2020",116.0312
