"customer_code","fiscal_year","pre_invoice_discount_pct"
70002017,"2020",0.0735
70002017,"2021",0.0703
70002018,"2020",0.2255
70002018,"2021",0.2061
70003181,"2020",0.0531
70003181,"2021",0.0974
70003182,"2020",0.1823
70003182,"2021",0.2065
70004069,"2020",0.0576
70004069,"2021",0.1068
70004070,"2020",0.2054
70004070,"2021",0.2612
70005163,"2020",0.2578
70005163,"2021",0.2471
70006157,"2020",0.0765
70006157,"2021",0.0858
70006158,"2020",0.2391
70006158,"2021",0.245
70007198,"2020",0.0703
70007198,"2021",0.0736
70007199,"2020",0.2123
70007199,"2021",0.2105
70008169,"2020",0.0975
70008169,"2021",0.0793
70008170,"2020",0.2207
70008170,"2021",0.1817
70009133,"2020",0.1086
70009133,"2021",0.0961
70009134,"2020",0.2029
70009134,"2021",0.2899
70010047,"2020",0.0804
70010047,"2021",0.0552
70010048,"2020",0.2129
70010048,"2021",0.2205
70011193,"2020",0.0643
70011193,"2021",0.1056
70011194,"2020",0.1917
70011194,"2021",0.1859
70012042,"2020",0.0987
70012042,"2021",0.0936
70012043,"2020",0.1973
70012043,"2021",0.2287
70013125,"2020",0.083
70013125,"2021",0.1041
70013126,"2020",0.2396
70013126,"2021",0.2873
70014142,"2020",0.0577
70014142,"2021",0.0962
70014143,"2020",0.1984
70014143,"2021",0.2674
70015151,"2020",0.086
70015151,"2021",0.0679
70015152,"2020",0.1805
70015152,"2021",0.2488
70016177,"2020",0.1003
70016177,"2021",0.1094
70016178,"2020",0.3047
70016178,"2021",0.2623
70017060,"2020",0.1994
70017060,"2021",0.1817
70018115,"2020",0.288
70018115,"2021",0.2219
70019204,"2020",0.1867
70019204,"2021",0.2561
70020104,"2020",0.2574
70020104,"2021",0.2826
70021096,"2020",0.3051
70021096,"2021",0.2865
70022084,"2020",0.0728
70022084,"2021",0.0849
70022085,"2020",0.3059
70022085,"2021",0.1876
70023031,"2020",0.0548
70023031,"2021",0.0809
70023032,"2020",0.3066
70023032,"2021",0.2779
70026206,"2020",0.2328
70026206,"2021",0.3043
70027208,"2020",0.2423
70027208,"2021",0.2791
80001019,"2020",0.2151
80001019,"2021",0.2485
80006154,"2020",0.2346
80006154,"2021",0.2103
80006155,"2020",0.2862
80006155,"2021",0.3091
80007195,"2020",0.239
80007195,"2021",0.2617
80007196,"2020",0.268
80007196,"2021",0.2819
90001020,"2020",0.2504
90001020,"2021",0.1965
90001021,"2020",0.1962
90001021,"2021",0.3095
90002001,"2020",0.1894
90002001,"2021",0.2119
90002002,"2020",0.186
90002002,"2021",0.3025
90002003,"2020",0.2611
90002003,"2021",0.3028
90002004,"2020",0.287
90002004,"2021",0.2753
90002005,"2020",0.235
90002005,"2021",0.2702
90002006,"2020",0.2398
90002006,"2021",0.3038
90002007,"2020",0.262
90002007,"2021",0.2508
90002008,"2020",0.2
90002008,"2021",0.2207
90002009,"2020",0.2826
90002009,"2021",0.3083
90002010,"2020",0.2076
90002010,"2021",0.2259
90002011,"2020",0.2656
90002011,"2021",0.2793
90002012,"2020",0.2572
90002012,"2021",0.1957
90002013,"2020",0.2885
90002013,"2021",0.2253
90002014,"2020",0.2654
90002014,"2021",0.2057
90002015,"2020",0.2227
